domain_id,subdomain_id,variable_id,variable_code,variable_name
EBA_Float,EBA_Float,EBA_FIELD_mi1364,mi1364,Aggregated amount of amount of intra-group transaction at reporting date and of carrying amount of intra-group transaction
EBA_Float,EBA_Float,EBA_FIELD_mi1365,mi1365,Amount of intra-group transaction at reporting date
EBA_Float,EBA_Float,EBA_FIELD_mi1366,mi1366,Carrying amount of intra-group transaction
EBA_Float,EBA_Float,EBA_FIELD_mi1367,mi1367,Value of intra-group transaction at reporting date
EBA_Float,EBA_Float,EBA_FIELD_mi1368,mi1368,Net receivables related to insurance/reinsurance intra-group transaction
EBA_Float,EBA_Float,EBA_FIELD_mi1369,mi1369,Amount of P&L intra-group transaction
EBA_Float,EBA_Float,EBA_FIELD_mi1370,mi1370,Amount of intra-group transaction at transaction date
EBA_Float,EBA_Float,EBA_FIELD_mi1371,mi1371,Value of collateral for collateralised debt or asset value for intra-group transaction involving asset transfer
EBA_Float,EBA_Float,EBA_FIELD_mi1372,mi1372,Amount of dividends/interest/coupon and other payments
EBA_Float,EBA_Float,EBA_FIELD_mi1373,mi1373,Notional amount of the intra-group transaction
EBA_Float,EBA_Float,EBA_FIELD_mi1374,mi1374,Value of collateral for derivatives intra-group transactions
EBA_Float,EBA_Float,EBA_FIELD_mi1376,mi1376,Amount of the exposures after credit or insurance risk mitigation technique and exemptions
EBA_Float,EBA_Float,EBA_FIELD_mi1377,mi1377,Deduction due to exemptions
EBA_Float,EBA_Float,EBA_FIELD_mi1378,mi1378,Deduction due to credit or insurance risk mitigation technique
EBA_Float,EBA_Float,EBA_FIELD_mi1379,mi1379,Total exposure towards a single counterparty
EBA_Float,EBA_Float,EBA_FIELD_mi1380,mi1380,Total amount of exposures
EBA_Float,EBA_Float,EBA_FIELD_mi1381,mi1381,Revenues stemming from derivatives
EBA_Float,EBA_Float,EBA_FIELD_mi1382,mi1382,Claims (for insurance)
EBA_Float,EBA_Float,EBA_FIELD_mi1383,mi1383,Value of intra-group transaction at starting date
EBA_Float,EBA_Float,EBA_FIELD_mi1384,mi1384,Premium (for insurance)
EBA_Float,EBA_Float,EBA_FIELD_mi1385,mi1385,Maximum possible value of contingent liabilities
EBA_Float,EBA_Float,EBA_FIELD_mi1386,mi1386,Reinsurance result (for reinsurance)
EBA_Float,EBA_Float,EBA_FIELD_mi1387,mi1387,Value of guaranteed assets
EBA_Float,EBA_Float,EBA_FIELD_mi1388,mi1388,Revenues stemming from the off balance sheet items
